name,url,img_url,price,tokens
"베지가든 비건 숯불향 그윽한 궁중 너비아니 (냉동), 500g, 1개",https://www.coupang.com/vp/products/5071765400?itemId=6864451321&vendorItemId=74157044550,https://img1a.coupangcdn.com/image/coupang/search/blank1x1.gif,12680,베지가든 비건 숯불 향 그 윽 한궁 중 너비아니 냉동 
샘표 연두 순 320g x 2 + 연두 320g 비건 양념장 오일,https://www.coupang.com/vp/products/1620987424?itemId=2766091495&vendorItemId=71068710097,https://img1a.coupangcdn.com/image/coupang/search/blank1x1.gif,15160,샘표 연 두 순 연두 비건 양념장 오일
"삼양 맛있는 라면 비건 100g, 32개",https://www.coupang.com/vp/products/5454178772?itemId=8333094466&vendorItemId=75620931399,https://img1a.coupangcdn.com/image/coupang/search/blank1x1.gif,24860,삼양 맛있는라면 비건 
"진선푸드 웰빙채식 김치손만두 (냉동), 1.4kg, 1개",https://www.coupang.com/vp/products/2346597072?itemId=4069117495&vendorItemId=72053197404&pickType=COU_PICK,https://img1a.coupangcdn.com/image/coupang/search/blank1x1.gif,10740,진선 푸드 웰빙 채식 김치 손 만 두 냉동 
"베지가든 비건 바삭 탕수육 (냉동), 500g, 1개",https://www.coupang.com/vp/products/5071765872?itemId=6864452718&vendorItemId=74157046274,https://img1a.coupangcdn.com/image/coupang/search/blank1x1.gif,10270,베지가든 비건 바삭 탕수육 냉동 
"삼육 감자짜장면, 128g, 16개",https://www.coupang.com/vp/products/1681142110?itemId=2863874512&vendorItemId=70853125162,https://img1a.coupangcdn.com/image/coupang/search/blank1x1.gif,21740,삼 육 감자 짜장면 
"롯데헬스원 [롯데헬스원] 비건 바이타민(멀티비타민 미네랄) 30일분, 선택완료, 단품없음",https://www.coupang.com/vp/products/5275323033?itemId=7530115282&vendorItemId=75658843823,https://img1a.coupangcdn.com/image/coupang/search/blank1x1.gif,25020,롯데 헬스 원 롯데 헬스 원 비건 바이타민 멀티 비타민 미네랄 일분 선택 완료 단품 없음
"베지가든 비건 바삭 탕수육 (냉동), 1kg, 1개",https://www.coupang.com/vp/products/5071765872?itemId=6864452722&vendorItemId=74157046298,https://img1a.coupangcdn.com/image/coupang/search/blank1x1.gif,21500,베지가든 비건 바삭 탕수육 냉동 
"진선푸드 웰빙채식 야채손만두 (냉동), 1.4kg, 1개",https://www.coupang.com/vp/products/2346597121?itemId=4069117549&vendorItemId=72053197457,https://img1a.coupangcdn.com/image/coupang/search/blank1x1.gif,10800,진선 푸드 웰빙 채식 야채 손 만 두 냉동 
"스윗밸런스 비건 스파이시 트러플 두부 샐러드, 250g, 2개",https://www.coupang.com/vp/products/6060445584?itemId=11141508150&vendorItemId=78419932080,https://img1a.coupangcdn.com/image/coupang/search/blank1x1.gif,11800,스윗 밸런스 비건 스파이 시 트러플 두부 샐러드 
"베지가든 비건 숯불향 떡갈비 (냉동), 480g, 1개",https://www.coupang.com/vp/products/5071765217?itemId=6864450678&vendorItemId=74157044010,https://img1a.coupangcdn.com/image/coupang/search/blank1x1.gif,11520,베지가든 비건 숯불 향 떡갈비 냉동 
"베지푸드 [냉동] 콩살로만 250g, 1, 상세설명 참조",https://www.coupang.com/vp/products/1255293673?itemId=2255613072&vendorItemId=70252943840,https://img1a.coupangcdn.com/image/coupang/search/blank1x1.gif,5130,베지 푸드 냉동 콩 살로 만 상세 설명 참조
"곰곰 쌈두부, 100g, 3개입",https://www.coupang.com/vp/products/4738497325?itemId=6018130961&vendorItemId=73315809213,https://img1a.coupangcdn.com/image/coupang/search/blank1x1.gif,7290,곰곰 쌈 두부 
"진선푸드 우리밀 피망잡채만두 (냉동), 1.4kg, 1개",https://www.coupang.com/vp/products/2346597036?itemId=4069117413&vendorItemId=72053197327,https://img1a.coupangcdn.com/image/coupang/search/blank1x1.gif,11150,진선 푸드 우리 밀 피망 잡채 만 두 냉동 
"고기대신 베지 오징어링 (냉동), 250g, 1팩",https://www.coupang.com/vp/products/5673188526?itemId=9347545664&vendorItemId=76632793793,https://img1a.coupangcdn.com/image/coupang/search/blank1x1.gif,7680,고 기 대신 베지 오징어 링 냉동 팩
"베지가든 비건 속이꽉찬 한입완자 (냉동), 1kg, 1개",https://www.coupang.com/vp/products/5071765054?itemId=6864450323&vendorItemId=74157043458,https://img1a.coupangcdn.com/image/coupang/search/blank1x1.gif,26000,베지가든 비건 속이 꽉찬한 완 자 냉동 
"네추럴라이즈 아마씨유 오일 식물성 오메가3 필수지방산 알파 리놀렌산 ALA 비건오메가3 저온압착 캐나다산, 1개, 180캡슐",https://www.coupang.com/vp/products/4595082621?itemId=5658830647&vendorItemId=72957791013,https://img1a.coupangcdn.com/image/coupang/search/blank1x1.gif,33400,네 추럴 라이즈 아마 씨유 오일 식물성 오메가 필수 지방산 알파 리놀렌산 비건 오메가 저온 압착 캐나다 산 캡슐
"쏘이마루 콩단백 고기, 1kg, 1개",https://www.coupang.com/vp/products/2195386392?itemId=3735545687&vendorItemId=71720735329,https://img1a.coupangcdn.com/image/coupang/search/blank1x1.gif,13370,쏘이 마루 콩 단백 고기 
"그린부처 비건 떡갈비 (냉동), 280g, 1개",https://www.coupang.com/vp/products/6082187120?itemId=11280961926&vendorItemId=78557795383,https://img1a.coupangcdn.com/image/coupang/search/blank1x1.gif,6980,그린 부처 비건 떡갈비 냉동 
"랩노쉬 마시는식사 비건 카카오, 240ml, 24개",https://www.coupang.com/vp/products/4633154196?itemId=5754665694&vendorItemId=73053268890,https://img1a.coupangcdn.com/image/coupang/search/blank1x1.gif,34000,랩노쉬 마시는 식사 비건 카카오 
"잇츠베러 마요, 245g, 1개",https://www.coupang.com/vp/products/213694586?itemId=648658719&vendorItemId=4686564310,https://img1a.coupangcdn.com/image/coupang/search/blank1x1.gif,5500,잇 츠 베러마 요 
비건스틱콩치킨xps 6400210gX2개,https://www.coupang.com/vp/products/175431634?itemId=501489100&vendorItemId=4279517160,https://img1a.coupangcdn.com/image/coupang/search/blank1x1.gif,16050,비건 스틱 콩 치킨 
"미나미 모어 DHA 맘스비건 20.7g, 1개, 60정",https://www.coupang.com/vp/products/5560666671?itemId=8819997231&vendorItemId=76106839155,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/rs_quotation_api/m0mdmlyl/4d8676d9bec4433db3b89f65e00436c3.jpg,35100,미나미 모어 맘스 비건 정
"베지가든 비건 숯불향 그윽한 궁중 너비아니 (냉동), 1kg, 1개",https://www.coupang.com/vp/products/5071765400?itemId=6864451323&vendorItemId=74157044569,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2021/02/23/18/0/4de81123-c2d7-4fa6-bb2e-b2f385fbc88c.jpg,23800,베지가든 비건 숯불 향 그 윽 한궁 중 너비아니 냉동 
"게더 앤드레스밸리 비건 레시피 건식사료, 1kg, 곡물",https://www.coupang.com/vp/products/4806296245?itemId=6177337326&vendorItemId=73473376800,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/rs_quotation_api/47cgndqb/f674490a529f4602b7b47ccb0e849314.jpg,20030,게더앤 드레스 밸리 비건 레시피 건 식 사료 곡물
